epoch,loss,acc
841,0.2418,0.9
842,0.2404,0.9
843,0.24,0.88
844,0.2386,0.9
845,0.2388,0.9
846,0.238,0.9
847,0.2376,0.91
848,0.2362,0.89
849,0.2365,0.89
850,0.237,0.88
851,0.2389,0.88
852,0.2397,0.89
853,0.2388,0.88
854,0.2373,0.89
855,0.2364,0.89
856,0.2369,0.9
857,0.2349,0.9
858,0.2338,0.9
859,0.2331,0.91
860,0.2339,0.9
861,0.2331,0.9
862,0.2324,0.9
863,0.2321,0.91
864,0.2323,0.91
865,0.2312,0.91
866,0.2306,0.92
867,0.2311,0.91
868,0.2313,0.91
869,0.2312,0.91
870,0.2313,0.91
871,0.2305,0.91
872,0.2323,0.91
873,0.2335,0.91
874,0.2301,0.91
875,0.2295,0.91
876,0.2295,0.9
877,0.2306,0.89
878,0.2307,0.89
879,0.2328,0.89
880,0.2312,0.89
881,0.2305,0.89
882,0.2304,0.9
883,0.2296,0.89
884,0.2284,0.9
885,0.2281,0.9
886,0.2287,0.93
887,0.2272,0.91
888,0.2278,0.9
889,0.2263,0.92
890,0.2268,0.9
891,0.2284,0.9
892,0.2267,0.91
893,0.2254,0.9
894,0.2245,0.91
895,0.2253,0.91
896,0.2255,0.91
897,0.2253,0.91
898,0.2251,0.91
899,0.2237,0.92
900,0.2232,0.93
901,0.2242,0.93
902,0.2291,0.9
903,0.2338,0.88
904,0.2365,0.87
905,0.2324,0.9
906,0.2293,0.91
907,0.2246,0.91
908,0.2228,0.93
909,0.2222,0.92
910,0.2216,0.91
911,0.2217,0.91
912,0.221,0.91
913,0.221,0.91
914,0.2214,0.92
915,0.2215,0.92
916,0.2219,0.91
917,0.2219,0.91
918,0.2215,0.91
919,0.2208,0.92
920,0.2212,0.9
921,0.2208,0.91
922,0.2236,0.9
923,0.2229,0.9
924,0.222,0.91
925,0.2208,0.91
926,0.2206,0.92
927,0.2185,0.93
928,0.2204,0.92
929,0.2245,0.9
930,0.2238,0.91
931,0.2199,0.92
932,0.2194,0.91
933,0.2219,0.9
934,0.2205,0.9
935,0.2201,0.9
936,0.2178,0.91
937,0.2172,0.92
938,0.2172,0.93
939,0.217,0.93
940,0.2165,0.93
941,0.2163,0.93
942,0.2165,0.92
943,0.216,0.93
944,0.2166,0.93
945,0.2163,0.93
946,0.2197,0.92
947,0.2183,0.92
948,0.2181,0.93
949,0.2156,0.93
950,0.2154,0.93
951,0.2156,0.93
952,0.2147,0.93
953,0.2145,0.91
954,0.2154,0.91
955,0.217,0.91
956,0.2197,0.9
957,0.2189,0.9
958,0.2172,0.9
959,0.2149,0.92
960,0.2145,0.92
961,0.215,0.92
962,0.2158,0.92
963,0.2161,0.92
964,0.2181,0.91
965,0.2155,0.92
966,0.2128,0.93
967,0.2122,0.93
968,0.2123,0.93
969,0.2126,0.92
970,0.212,0.93
971,0.2129,0.93
972,0.2116,0.92
973,0.2122,0.92
974,0.2129,0.92
975,0.2116,0.92
976,0.2105,0.92
977,0.2113,0.91
978,0.2116,0.91
979,0.2118,0.91
980,0.2122,0.91
981,0.2128,0.91
982,0.2139,0.9
983,0.2133,0.9
984,0.2125,0.91
985,0.2101,0.92
986,0.2098,0.92
987,0.2118,0.92
988,0.2143,0.91
989,0.214,0.91
990,0.2119,0.92
991,0.2096,0.93
992,0.2086,0.92
993,0.2098,0.91
994,0.2089,0.93
995,0.2092,0.93
996,0.2089,0.93
997,0.2093,0.93
998,0.2086,0.93
999,0.2088,0.93
1000,0.2082,0.93
1001,0.2081,0.93
1002,0.2086,0.92
1003,0.2078,0.92
1004,0.2074,0.93
1005,0.2071,0.92
1006,0.2082,0.92
1007,0.209,0.91
1008,0.2091,0.91
1009,0.2075,0.92
1010,0.207,0.92
1011,0.2066,0.93
1012,0.207,0.92
1013,0.2088,0.91
1014,0.2089,0.9
1015,0.2077,0.91
1016,0.2054,0.91
1017,0.2084,0.91
1018,0.2093,0.91
1019,0.2078,0.92
1020,0.204,0.93
1021,0.2055,0.92
1022,0.2075,0.92
1023,0.2081,0.91
1024,0.2068,0.92
1025,0.2047,0.92
1026,0.2045,0.92
1027,0.2046,0.92
1028,0.2035,0.93
1029,0.2032,0.92
1030,0.2058,0.92
1031,0.2061,0.91
1032,0.2056,0.92
1033,0.2053,0.92
1034,0.2048,0.92
1035,0.2023,0.92
1036,0.203,0.93
1037,0.2078,0.92
1038,0.2103,0.91
1039,0.2103,0.91
1040,0.2081,0.92
1041,0.2067,0.93
1042,0.2052,0.93
1043,0.2049,0.93
1044,0.2023,0.92
1045,0.203,0.92
1046,0.2004,0.93
1047,0.2004,0.92
1048,0.2012,0.92
1049,0.2022,0.91
1050,0.203,0.92
1051,0.2021,0.93
1052,0.2002,0.91
1053,0.2077,0.9
1054,0.2092,0.9
1055,0.2082,0.9
1056,0.2065,0.9
1057,0.2052,0.9
1058,0.205,0.9
1059,0.2028,0.9
1060,0.2023,0.91
1061,0.202,0.91
1062,0.2022,0.92
1063,0.1969,0.92
1064,0.2005,0.93
1065,0.2064,0.91
1066,0.2021,0.92
1067,0.1998,0.92
1068,0.1975,0.92
1069,0.1984,0.92
1070,0.1997,0.92
1071,0.1986,0.92
1072,0.2022,0.91
1073,0.2017,0.91
1074,0.1979,0.92
1075,0.199,0.92
1076,0.2036,0.91
1077,0.2045,0.91
1078,0.2035,0.91
1079,0.2006,0.92
1080,0.1989,0.93
1081,0.1967,0.94
1082,0.1978,0.93
1083,0.1974,0.93
1084,0.1976,0.93
1085,0.1967,0.92
1086,0.1967,0.92
1087,0.1959,0.92
1088,0.1964,0.93
1089,0.1987,0.92
1090,0.1978,0.94
1091,0.1948,0.92
1092,0.1971,0.93
1093,0.1973,0.93
1094,0.1954,0.93
1095,0.1942,0.93
1096,0.1932,0.92
1097,0.1932,0.93
1098,0.1938,0.92
